Book,Author,Date_Range
Matthew,Matthew,50 A.D. - 70 A.D.,
Mark,Mark,50 A.D. - 70 A.D.,
Luke,Luke,50 A.D. - 70 A.D.,
John,John,60 A.D. - 85 A.D.,
Acts,Luke,63 A.D. - 70 A.D.,
Romans,Paul,57 A.D.,
1 Corinthians,Paul,55 A.D.,
2 Corinthians,Paul,55 A.D.,
Galatians,Paul,48 A.D. - 57 A.D.,
Ephesians,Paul,60 A.D.,
Philippians,Paul,61 A.D.,
Colossians,Paul,60 A.D.,
1 Thessalonians,Paul,51 A.D.,
2 Thessalonians,Paul,51 A.D. - 52 A.D.,
1 Timothy,Paul,64 A.D. - 65 A.D.,
2 Timothy,Paul,66 A.D. - 67 A.D.,
Titus,Paul,63 A.D. - 65 A.D.,
Philemon,Paul,60 A.D.,
Hebrews,Unknown,63 A.D. - 64 A.D.,
James,James,50 A.D. - 60 A.D.,
1 Peter,Peter,60 A.D. - 68 A.D.,
2 Peter,Peter,65 A.D. - 68 A.D.,
1 John,John,85 A.D. - 95 A.D.,
2 John,John,85 A.D. - 95 A.D.,
3 John,John,85 A.D - 95 A.D.,
Jude,Jude,65 A.D.,
Revelation,John,81 A.D. - 96 A.D.,
