"Genesis,Moses,1450 B.C. - 1410 B.C.,"
"Exodus,Moses,1440 B.C. - 1400 B.C.,"
"Leviticus,Moses,1440 B.C. - 1400 B.C.,"
"Numbers,Moses,1440 B.C. - 1400 B.C.,"
"Deuteronomy,Moses,1440 B.C. - 1400 B.C.,"
"Joshua,Unknown,Unknown,"
"Judges,Unknown,Unknown,"
"Ruth,Unknown,Unknown,"
"1 Samuel,Unknown,Unknown,"
"2 Samuel,Unknown,Unknown,"
"1 Kings,Unknown,Unknown,"
"2 Kings,Unknown,Unknown,"
"1 Chronicles,Ezra,Unknown,"
"2 Chronicles,Ezra,Unknown,"
"Ezra,Ezra,450 B.C. - 430 B.C.,"
"Nehemiah,Ezra,450 B.C. - 430 B.C.,"
"Esther,Unknown,460 B.C. - 350 B.C.,"
"Job,Unknown,Unknown,"
"Psalms,Multiple Authors,1400 B.C. - 586 B.C.,"
"Proverbs,Solomon,970 B.C. - 930 B.C.,"
"Ecclesiastes,Solomon,950 B.C. - 930 B.C.,"
"Song of Solomon,Solomon,960 B.C. - 940 B.C.,"
"Isaiah,Isaiah,740 B.C. - 700 B.C.,"
"Jeremiah,Jeremiah,626 B.C. - 580 B.C.,"
"Lamentations,Unknown,586 B.C. - 538 B.C.,"
"Ezekiel,Ezekiel,593 B.C. - 523 B.C.,"
"Daniel,Daniel,540 B.C. - 520 B.C.,"
"Hosea,Hosea,755 B.C. - 715 B.C.,"
"Joel,Joel,Unknown,"
"Amos,Amos,770 B.C. - 750 B.C.,"
"Obadiah,Obadiah,586 B.C. - 553 B.C.,"
"Jonah,Jonah,785 B.C. - 770 B.C.,"
"Micah,Micah,750 B.C. - 700 B.C.,"
"Nahum,Nahum,663 B.C. - 615 B.C.,"
"Habakkuk,Habakkuk,650 B.C. - 600 B.C.,"
"Zephaniah,Zephaniah,640 B.C. - 609 B.C.,"
"Haggai,Haggai,520 B.C. - 520 B.C.,"
"Zechariah,Zechariah,520 B.C. - 518 B.C,"
"Malachi,Malachi,Unknown,"
